"","Offense","Description","Neighborhood","Precinct","UCRCode","Time","Month","Year","Date","Longitude","Latitude"
"6574","AUTOTH","Motor Vehicle Theft","LYNNHURST",5,8,"17:19:00","01","2015","2015-01-13",-93.307709,44.905289
"6575","AUTOTH","Motor Vehicle Theft","NEAR - NORTH",4,8,"22:01:00","01","2015","2015-01-13",-93.291847,44.998878
"6576","BURGD","Burglary Of Dwelling","LYNDALE",5,6,"21:12:00","01","2015","2015-01-13",-93.280983,44.941841
"6577","AUTOTH","Motor Vehicle Theft","MCKINLEY",4,8,"18:30:00","01","2015","2015-01-14",-93.289642,45.016041
"6578","ROBPER","Robbery Of Person","MIDTOWN PHILLIPS",3,4,"19:15:00","01","2015","2015-01-14",-93.252411,44.95734
"6579","BURGD","Burglary Of Dwelling","JORDAN",4,6,"23:46:00","01","2015","2015-01-14",-93.302132,45.005741
"6580","BURGD","Burglary Of Dwelling","POWDERHORN PARK",3,6,"19:00:00","01","2015","2015-01-14",-93.25322,44.939701
"6581","AUTOTH","Motor Vehicle Theft","WILLARD - HAY",4,8,"03:03:00","01","2015","2015-01-14",-93.315483,44.999088
"6582","TFMV","Theft From Motr Vehc","LOWRY HILL EAST",5,7,"17:45:00","01","2015","2015-01-14",-93.296898,44.94939
"6583","TFMV","Theft From Motr Vehc","MORRIS PARK",3,7,"04:00:00","01","2015","2015-01-14",-93.207962,44.904049
"6584","BURGD","Burglary Of Dwelling","JORDAN",4,6,"17:00:00","01","2015","2015-01-14",-93.313683,45.010319
"6585","BURGD","Burglary Of Dwelling","BANCROFT",3,6,"20:30:00","01","2015","2015-01-14",-93.247719,44.93137
"6586","DASTR","Domestic Assault/Strangulation","WENONAH",3,5,"06:33:00","01","2015","2015-01-14",-93.226822,44.899929
"6587","TFMV","Theft From Motr Vehc","MINNEHAHA",3,7,"22:00:00","01","2015","2015-01-14",-93.214561,44.909489
"6588","TMVP","Theft-motr Veh Parts","COMO",2,7,"07:30:00","01","2015","2015-01-14",-93.207764,44.98806
"6589","TFMV","Theft From Motr Vehc","ELLIOT PARK",1,7,"08:00:00","01","2015","2015-01-14",-93.257233,44.969669
"6590","BURGD","Burglary Of Dwelling","STANDISH",3,6,"21:00:00","01","2015","2015-01-14",-93.246407,44.931728
"6591","TFMV","Theft From Motr Vehc","DOWNTOWN WEST",1,7,"09:53:00","01","2015","2015-01-14",-93.262451,44.981689
"6592","ROBPAG","Robbery Per Agg","BANCROFT",3,4,"21:00:00","01","2015","2015-01-14",-93.259979,44.928741
"6593","BURGB","Burglary Of Business","CEDAR RIVERSIDE",1,6,"16:00:00","01","2015","2015-01-14",-93.237953,44.96917
"6594","BURGD","Burglary Of Dwelling","TANGLETOWN",5,6,"10:58:00","01","2015","2015-01-14",-93.287132,44.9095
"6595","THEFT","Other Theft","HALE",3,7,"20:30:00","01","2015","2015-01-14",-93.25206,44.909061
"6596","TFPER","Theft From Person","CENTRAL",3,7,"18:30:00","01","2015","2015-01-14",-93.262611,44.943169
"6597","BURGD","Burglary Of Dwelling","STANDISH",3,6,"00:01:00","01","2015","2015-01-14",-93.243919,44.936821
"6598","BURGD","Burglary Of Dwelling","NORTHROP",3,6,"10:00:00","01","2015","2015-01-14",-93.247704,44.919849
"6599","TFMV","Theft From Motr Vehc","STANDISH",3,7,"01:00:00","01","2015","2015-01-14",-93.240631,44.93
"6600","TFMV","Theft From Motr Vehc","MINNEHAHA",3,7,"00:00:00","01","2015","2015-01-14",-93.211723,44.91066
"6601","THEFT","Other Theft","NORTH LOOP",1,7,"12:40:00","01","2015","2015-01-14",-93.280037,44.98457
"6602","TFMV","Theft From Motr Vehc","LYNNHURST",5,7,"20:00:00","01","2015","2015-01-14",-93.295563,44.91647
"6603","THEFT","Other Theft","VENTURA VILLAGE",3,7,"12:48:00","01","2015","2015-01-14",-93.257133,44.95961
"6604","THEFT","Other Theft","WILLARD - HAY",4,7,"15:20:00","01","2015","2015-01-14",-93.308861,44.992229
"6605","THEFT","Other Theft","NICOLLET ISLAND - EAST BANK",2,7,"15:15:00","01","2015","2015-01-14",-93.257233,44.985352
"6606","SHOPLF","Shoplifting","DOWNTOWN WEST",1,7,"19:27:00","01","2015","2015-01-13",-93.275017,44.974751
